DATE_TIME,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
15/05/2020 0:45,0,0,0,6339380
15/05/2020 0:45,0,0,0,7116151
15/05/2020 1:00,0,0,0,6259559
15/05/2020 1:00,0,0,0,6183645
15/05/2020 1:00,0,0,0,6987759
15/05/2020 1:00,0,0,0,7602960
15/05/2020 1:00,0,0,0,7158964
15/05/2020 1:00,0,0,0,7206408
15/05/2020 1:00,0,0,0,7028673
15/05/2020 1:00,0,0,0,7179966
15/05/2020 1:00,0,0,0,6522172
15/05/2020 1:00,0,0,0,7098099
15/05/2020 1:00,0,0,0,6271355
15/05/2020 1:00,0,0,0,6316803
15/05/2020 1:00,0,0,0,7177992
15/05/2020 1:00,0,0,0,6185184
15/05/2020 1:00,0,0,0,7169102
15/05/2020 1:00,0,0,0,7111493
15/05/2020 1:00,0,0,0,7016832
15/05/2020 1:00,0,0,0,7038681
15/05/2020 1:00,0,0,0,6782598
15/05/2020 1:00,0,0,0,7007866
15/05/2020 1:00,0,0,0,6339380
15/05/2020 1:00,0,0,0,7116151
15/05/2020 1:15,0,0,0,6259559
15/05/2020 1:15,0,0,0,6183645
15/05/2020 1:15,0,0,0,6987759
15/05/2020 1:15,0,0,0,7602960
15/05/2020 1:15,0,0,0,7158964
15/05/2020 1:15,0,0,0,7206408
15/05/2020 1:15,0,0,0,7028673
15/05/2020 1:15,0,0,0,6522172
15/05/2020 1:15,0,0,0,7098099
15/05/2020 1:15,0,0,0,6271355
15/05/2020 1:15,0,0,0,6316803
15/05/2020 1:15,0,0,0,7177992
15/05/2020 1:15,0,0,0,6185184
15/05/2020 1:15,0,0,0,7169102
15/05/2020 1:15,0,0,0,7111493
15/05/2020 1:15,0,0,0,7016832
15/05/2020 1:15,0,0,0,7038681
15/05/2020 1:15,0,0,0,6782598
15/05/2020 1:15,0,0,0,7007866
15/05/2020 1:15,0,0,0,6339380
15/05/2020 1:15,0,0,0,7116151
15/05/2020 1:30,0,0,0,6259559
15/05/2020 1:30,0,0,0,6183645
15/05/2020 1:30,0,0,0,6987759
15/05/2020 1:30,0,0,0,7602960
15/05/2020 1:30,0,0,0,7158964
15/05/2020 1:30,0,0,0,7206408
15/05/2020 1:30,0,0,0,7028673
15/05/2020 1:30,0,0,0,6522172
15/05/2020 1:30,0,0,0,7098099
15/05/2020 1:30,0,0,0,6271355
15/05/2020 1:30,0,0,0,6316803
15/05/2020 1:30,0,0,0,7177992
15/05/2020 1:30,0,0,0,6185184
15/05/2020 1:30,0,0,0,7169102
15/05/2020 1:30,0,0,0,7111493
15/05/2020 1:30,0,0,0,7016832
15/05/2020 1:30,0,0,0,7038681
15/05/2020 1:30,0,0,0,6782598
15/05/2020 1:30,0,0,0,7007866
15/05/2020 1:30,0,0,0,6339380
15/05/2020 1:30,0,0,0,7116151
15/05/2020 1:45,0,0,0,6259559
15/05/2020 1:45,0,0,0,6183645
15/05/2020 1:45,0,0,0,6987759
15/05/2020 1:45,0,0,0,7602960
15/05/2020 1:45,0,0,0,7158964
15/05/2020 1:45,0,0,0,7206408
15/05/2020 1:45,0,0,0,7028673
15/05/2020 1:45,0,0,0,7179966
15/05/2020 1:45,0,0,0,6522172
15/05/2020 1:45,0,0,0,7098099
15/05/2020 1:45,0,0,0,6271355
15/05/2020 1:45,0,0,0,6316803
15/05/2020 1:45,0,0,0,7177992
15/05/2020 1:45,0,0,0,6185184
15/05/2020 1:45,0,0,0,7169102
15/05/2020 1:45,0,0,0,7111493
15/05/2020 1:45,0,0,0,7016832
15/05/2020 1:45,0,0,0,7038681
15/05/2020 1:45,0,0,0,6782598
15/05/2020 1:45,0,0,0,7007866
15/05/2020 1:45,0,0,0,6339380
15/05/2020 1:45,0,0,0,7116151
15/05/2020 2:00,0,0,0,6259559
15/05/2020 2:00,0,0,0,6183645
15/05/2020 2:00,0,0,0,6987759
15/05/2020 2:00,0,0,0,7602960
15/05/2020 2:00,0,0,0,7158964
15/05/2020 2:00,0,0,0,7206408
15/05/2020 2:00,0,0,0,7028673
15/05/2020 2:00,0,0,0,6522172
15/05/2020 2:00,0,0,0,7098099
15/05/2020 2:00,0,0,0,6271355
15/05/2020 2:00,0,0,0,6316803
15/05/2020 2:00,0,0,0,7177992
15/05/2020 2:00,0,0,0,6185184
15/05/2020 2:00,0,0,0,7169102
15/05/2020 2:00,0,0,0,7111493
15/05/2020 2:00,0,0,0,7016832
15/05/2020 2:00,0,0,0,7038681
15/05/2020 2:00,0,0,0,6782598
15/05/2020 2:00,0,0,0,7007866
15/05/2020 2:00,0,0,0,6339380
15/05/2020 2:00,0,0,0,7116151
15/05/2020 2:15,0,0,0,6259559
15/05/2020 2:15,0,0,0,6183645
15/05/2020 2:15,0,0,0,6987759
15/05/2020 2:15,0,0,0,7602960
15/05/2020 2:15,0,0,0,7158964
15/05/2020 2:15,0,0,0,7206408
15/05/2020 2:15,0,0,0,7028673
15/05/2020 2:15,0,0,0,6522172
15/05/2020 2:15,0,0,0,7098099
15/05/2020 2:15,0,0,0,6271355
15/05/2020 2:15,0,0,0,6316803
15/05/2020 2:15,0,0,0,7177992
15/05/2020 2:15,0,0,0,6185184
15/05/2020 2:15,0,0,0,7169102
15/05/2020 2:15,0,0,0,7111493
15/05/2020 2:15,0,0,0,7016832
15/05/2020 2:15,0,0,0,7038681
15/05/2020 2:15,0,0,0,6782598
15/05/2020 2:15,0,0,0,7007866
15/05/2020 2:15,0,0,0,6339380
15/05/2020 2:15,0,0,0,7116151
15/05/2020 2:30,0,0,0,6259559
15/05/2020 2:30,0,0,0,6183645
15/05/2020 2:30,0,0,0,6987759
15/05/2020 2:30,0,0,0,7602960
15/05/2020 2:30,0,0,0,7158964
15/05/2020 2:30,0,0,0,7206408
15/05/2020 2:30,0,0,0,7028673
15/05/2020 2:30,0,0,0,6522172
15/05/2020 2:30,0,0,0,7098099
15/05/2020 2:30,0,0,0,6271355
15/05/2020 2:30,0,0,0,6316803
15/05/2020 2:30,0,0,0,7177992
15/05/2020 2:30,0,0,0,6185184
15/05/2020 2:30,0,0,0,7169102
15/05/2020 2:30,0,0,0,7111493
15/05/2020 2:30,0,0,0,7016832
15/05/2020 2:30,0,0,0,7038681
15/05/2020 2:30,0,0,0,6782598
15/05/2020 2:30,0,0,0,7007866
15/05/2020 2:30,0,0,0,6339380
15/05/2020 2:30,0,0,0,7116151
15/05/2020 2:45,0,0,0,6259559
15/05/2020 2:45,0,0,0,6183645
15/05/2020 2:45,0,0,0,6987759
15/05/2020 2:45,0,0,0,7602960
15/05/2020 2:45,0,0,0,7158964
15/05/2020 2:45,0,0,0,7206408
15/05/2020 2:45,0,0,0,7028673
15/05/2020 2:45,0,0,0,6522172
15/05/2020 2:45,0,0,0,7098099
15/05/2020 2:45,0,0,0,6271355
15/05/2020 2:45,0,0,0,6316803
15/05/2020 2:45,0,0,0,7177992
15/05/2020 2:45,0,0,0,6185184
15/05/2020 2:45,0,0,0,7169102
15/05/2020 2:45,0,0,0,7111493
15/05/2020 2:45,0,0,0,7016832
15/05/2020 2:45,0,0,0,7038681
15/05/2020 2:45,0,0,0,6782598
15/05/2020 2:45,0,0,0,7007866
15/05/2020 2:45,0,0,0,6339380
15/05/2020 2:45,0,0,0,7116151
15/05/2020 3:00,0,0,0,6259559
15/05/2020 3:00,0,0,0,6183645
15/05/2020 3:00,0,0,0,6987759
15/05/2020 3:00,0,0,0,7602960
15/05/2020 3:00,0,0,0,7158964
15/05/2020 3:00,0,0,0,7206408
15/05/2020 3:00,0,0,0,7028673
15/05/2020 3:00,0,0,0,6522172
15/05/2020 3:00,0,0,0,7098099
15/05/2020 3:00,0,0,0,6271355
15/05/2020 3:00,0,0,0,6316803
15/05/2020 3:00,0,0,0,7177992
15/05/2020 3:00,0,0,0,6185184
15/05/2020 3:00,0,0,0,7169102
15/05/2020 3:00,0,0,0,7111493
15/05/2020 3:00,0,0,0,7016832
15/05/2020 3:00,0,0,0,7038681
15/05/2020 3:00,0,0,0,6782598
15/05/2020 3:00,0,0,0,7007866
15/05/2020 3:00,0,0,0,6339380
15/05/2020 3:00,0,0,0,7116151
15/05/2020 3:15,0,0,0,6259559
15/05/2020 3:15,0,0,0,6183645
15/05/2020 3:15,0,0,0,6987759
15/05/2020 3:15,0,0,0,7602960
15/05/2020 3:15,0,0,0,7158964
15/05/2020 3:15,0,0,0,7206408
15/05/2020 3:15,0,0,0,7028673
15/05/2020 3:15,0,0,0,6522172
15/05/2020 3:15,0,0,0,7098099
15/05/2020 3:15,0,0,0,6271355
15/05/2020 3:15,0,0,0,6316803
15/05/2020 3:15,0,0,0,7177992
15/05/2020 3:15,0,0,0,6185184
15/05/2020 3:15,0,0,0,7169102
15/05/2020 3:15,0,0,0,7111493
15/05/2020 3:15,0,0,0,7016832
15/05/2020 3:15,0,0,0,7038681
15/05/2020 3:15,0,0,0,6782598
15/05/2020 3:15,0,0,0,7007866
15/05/2020 3:15,0,0,0,6339380
15/05/2020 3:15,0,0,0,7116151
15/05/2020 3:30,0,0,0,6259559
15/05/2020 3:30,0,0,0,6183645
15/05/2020 3:30,0,0,0,6987759
